,item,pos,PosScore,NegScore,total_score
0,;-),emoji,0.375,-0.0,0.375
1,;),emoji,0.375,-0.0,0.375
2,:-(,emoji,0.042,-0.667,-0.625
3,:-),emoji,0.562,-0.0,0.562
4,:-)),emoji,0.562,-0.0,0.562
5,:-*,emoji,0.125,-0.0,0.125
6,:-/,emoji,0.0,-0.562,-0.562
7,:-d,emoji,0.375,-0.0,0.375
8,:-p,emoji,0.375,-0.0,0.375
9,:'-(,emoji,0.094,-0.43799999999999994,-0.344
10,:'-),emoji,0.562,-0.0,0.562
11,:'(,emoji,0.042,-0.667,-0.625
12,:'),emoji,0.562,-0.0,0.562
13,:(,emoji,0.042,-0.667,-0.625
14,:((,emoji,0.042,-0.667,-0.625
15,:),emoji,0.562,-0.0,0.562
16,:*,emoji,0.125,-0.0,0.125
17,:/,emoji,0.0,-0.562,-0.562
18,:d,emoji,0.375,-0.0,0.375
19,:p,emoji,0.375,-0.0,0.375
20,:x,emoji,0.125,-0.0,0.125
21,(-:,emoji,0.562,-0.0,0.562
22,(;,emoji,0.375,-0.0,0.375
23,(:,emoji,0.562,-0.0,0.562
24,(':,emoji,0.562,-0.0,0.562
25,((-:,emoji,0.562,-0.0,0.562
26,(=,emoji,0.562,-0.0,0.562
27,)-:,emoji,0.042,-0.667,-0.625
28,);,emoji,0.094,-0.43799999999999994,-0.344
29,):,emoji,0.042,-0.667,-0.625
30,)':,emoji,0.094,-0.43799999999999994,-0.344
31,)=,emoji,0.042,-0.667,-0.625
32,*-:,emoji,0.125,-0.0,0.125
33,/-:,emoji,0.0,-0.562,-0.562
34,/:,emoji,0.0,-0.562,-0.562
35,<3,slang,0.325,-0.125,0.2
36,=(,emoji,0.042,-0.667,-0.625
37,=),emoji,0.562,-0.0,0.562
38,2moro,slang,0.0,-0.125,-0.125
39,4eva,slang,0.125,-0.125,0.0
40,4ever,slang,0.125,-0.125,0.0
41,abbrennen,v,0.0,-0.188,-0.188
42,abdeckung,n,0.0,-0.125,-0.125
43,abdrehen,v,0.0,-0.25,-0.25
44,abdruck,n,0.0,-0.375,-0.375
