,item,pos,PosScore,NegScore,total_score
134076,88,slang,0.125,-0.0,0.125
134048,143,slang,0.312,-0.0,0.312
134050,182,slang,0.062,-0.562,-0.5
134051,187,slang,0.0,-0.375,-0.375
134061,404,slang,0.0,-0.479,-0.479
134062,411,slang,0.125,-0.0,0.125
134064,459,slang,0.312,-0.0,0.312
134073,775,slang,0.125,-0.0,0.125
134074,831,slang,0.312,-0.0,0.312
134049,1432,slang,0.312,-0.0,0.312
134022,;-),emoji,0.375,-0.0,0.375
134023,;),emoji,0.375,-0.0,0.375
134010,:-(,emoji,0.042,-0.667,-0.625
134005,:-),emoji,0.562,-0.0,0.562
134009,:-)),emoji,0.562,-0.0,0.562
134020,:-*,emoji,0.125,-0.0,0.125
134027,:-/,emoji,0.0,-0.562,-0.562
134007,:-d,emoji,0.375,-0.0,0.375
134018,:-o,emoji,0.125,-0.156,-0.031
134025,:-p,emoji,0.375,-0.0,0.375
134015,:'-(,emoji,0.094,-0.438,-0.344
134016,:'-),emoji,0.562,-0.0,0.562
134014,:'(,emoji,0.042,-0.667,-0.625
134017,:'),emoji,0.562,-0.0,0.562
134011,:(,emoji,0.042,-0.667,-0.625
134006,:),emoji,0.562,-0.0,0.562
134021,:*,emoji,0.125,-0.0,0.125
134028,:/,emoji,0.0,-0.562,-0.562
134008,:d,emoji,0.375,-0.0,0.375
134019,:o,emoji,0.125,-0.156,-0.031
134026,:p,emoji,0.375,-0.0,0.375
134024,:x,emoji,0.125,-0.0,0.125
134030,(-:,emoji,0.562,-0.0,0.562
134041,(;,emoji,0.375,-0.0,0.375
134029,(:,emoji,0.562,-0.0,0.562
134038,(':,emoji,0.562,-0.0,0.562
134032,((-:,emoji,0.562,-0.0,0.562
134033,(=,emoji,0.562,-0.0,0.562
134035,)-:,emoji,0.042,-0.667,-0.625
134042,);,emoji,0.094,-0.438,-0.344
134036,):,emoji,0.042,-0.667,-0.625
134037,)':,emoji,0.094,-0.438,-0.344
134034,)=,emoji,0.042,-0.667,-0.625
134043,*-:,emoji,0.125,-0.0,0.125
134046,/-:,emoji,0.0,-0.562,-0.562
134045,/:,emoji,0.0,-0.562,-0.562
134077,<3,slang,0.325,-0.125,0.2
134013,=(,emoji,0.042,-0.667,-0.625
134012,=),emoji,0.562,-0.0,0.562
134047,142n8ly,slang,0.0,-0.875,-0.875
134052,1daful,slang,0.75,-0.0,0.75
134054,2day,slang,0.188,-0.0,0.188
134055,2g2b4g,slang,0.668,-0.0,0.668
134056,2g2bt,slang,0.668,-0.0,0.668
134057,2moro,slang,0.0,-0.125,-0.125
134059,2qt,slang,0.562,-0.0,0.562
134065,4col,slang,0.042,-0.667,-0.625
134066,4e,slang,0.125,-0.125,0.0
134067,4eae,slang,0.125,-0.125,0.0
134068,4eva,slang,0.125,-0.125,0.0
134069,4ever,slang,0.125,-0.125,0.0
134070,4nr,slang,0.0,-0.625,-0.625
134071,4q,slang,0.0,-0.375,-0.375
134072,53x,slang,0.25,-0.188,0.062
6,a fortiori,r,0.25,-0.0,0.25
7,a good deal,r,0.25,-0.0,0.25
119899,a great deal,r,0.312,-0.0,0.312
13,a lot,r,0.25,-0.0,0.25
119900,a posteriori,a,0.125,-0.062,0.062
119901,a priori,a,0.125,-0.125,0.0
16,aaa,n,0.25,-0.125,0.125
30,aaron's rod,n,0.0,-0.125,-0.125
119902,aback,r,0.125,-0.125,0.0
119903,abandon,v,0.0,-0.25,-0.25
119904,abandoned,a,0.25,-0.188,0.062
47,abandoned person,n,0.0,-0.375,-0.375
119905,abandonment,n,0.0,-0.5,-0.5
50,abase,v,0.0,-0.625,-0.625
119906,abasement,n,0.312,-0.25,0.062
51,abash,v,0.0,-0.25,-0.25
52,abashed,a,0.0,-0.375,-0.375
53,abashment,n,0.125,-0.5,-0.375
54,abasia,n,0.125,-0.625,-0.5
55,abasia trepidans,n,0.0,-0.375,-0.375
56,abasic,a,0.125,-0.375,-0.25
57,abatable,a,0.625,-0.0,0.625
58,abatable nuisance,n,0.0,-0.125,-0.125
119907,abate,v,0.0,-0.25,-0.25
119908,abatement,n,0.0,-0.125,-0.125
60,abatic,a,0.125,-0.375,-0.25
66,abaxially,r,0.25,-0.0,0.25
71,abbe,n,0.125,-0.0,0.125
74,abbot,n,0.5,-0.0,0.5
119909,abdias,n,0.0,-0.25,-0.25
81,abdicable,a,0.5,-0.125,0.375
84,abdominal actinomycosis,n,0.0,-0.125,-0.125
86,abdominal aortic aneurysm,n,0.25,-0.125,0.125
87,abdominal breathing,n,0.0,-0.25,-0.25
119910,abduct,v,0.0,-0.125,-0.125
119911,abduction,n,0.0,-1.0,-1.0
124,aberrance,n,0.125,-0.0,0.125
125,aberrancy,n,0.125,-0.0,0.125
119912,aberrant,n,0.5,-0.125,0.375
119913,aberrate,v,0.0,-0.25,-0.25
119914,aberration,n,0.167,-0.083,0.083
127,abetalipoproteinemia,n,0.0,-0.75,-0.75
133,abeyant,a,0.25,-0.375,-0.125
136,abhor,v,0.0,-0.25,-0.25
137,abhorrence,n,0.0,-0.375,-0.375
138,abhorrent,a,0.0,-0.75,-0.75
119915,abidance,n,0.625,-0.0,0.625
119916,abide,v,0.0,-0.5,-0.5
119917,abide by,v,0.375,-0.0,0.375
143,abient,a,0.5,-0.25,0.25
119918,ability,n,0.312,-0.062,0.25
159,abiotrophy,n,0.125,-0.375,-0.25
119919,abject,a,0.281,-0.594,-0.312
160,abjection,n,0.0,-0.125,-0.125
161,abjectly,r,0.375,-0.0,0.375
162,abjuration,n,0.0,-0.625,-0.625
