doesnt, does not
doesn’t, does not
didnt, did not
didn't, did not
dont, do not
don’t, do not
isnt, is not
isn’t, is not
arent, are not
aren't, are not
aint, are not
ain't, are not
wasnt, was not
wasn’t, was not
werent, were not
weren't, were not
shouldnt, should not
shouldn’t, should not
wouldnt, would not
wouldn’t, would not
couldnt, could not
couldn’t, could not
wont, will not
won’t, will not
cant, can not
cannot, can not
can’t, can not
havent, have not
haven't, have not
hasnt, has not
hasn't, has not
hadnt, had not
hadn't, had not
mustnt, must not
mustn't, must not
mayn't, may not
maynt, may not
mightnt, might not
mightn't, might not
neednt, need not
needn't, need not
oughtnt, ought not
oughtn't, ought not
shant, shall not
shan't, shall not
darent, dare not
daren't, dare not
